Game,Tags
The Quarry Deluxe Edition,Game not found
Metal Hellsinger,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
Dark Pictures Anthology: House of Ashes,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together"
Rebel Inc: Escalation,"Single-player,Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor"
Spirit of the Island,"Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Cloud"
Lords and Villeins,"Single-player,Steam Achievements,Steam Cloud"
A Juggler's Tale,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Mr. Prepper,"Single-player,Steam Achievements,Captions available,Steam Cloud,Stats,Includes level editor,Remote Play on Tablet"
Tiny Tina's Wonderlands Chaotic Great Edition,Game not found
Deceive Inc.,"Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases"
The Forgotten City,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Aces & Adventures,"Single-player,Steam Achievements,Steam Cloud"
Patch Quest,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together"
Foretales,"Single-player,Steam Achievements,Steam Cloud"
Who Pressed Mute on Uncle Marcus,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Autonauts vs PirateBots,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Disco Elysium - The Final Cut,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet"
Chivalry 2,"Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support"
Road 96,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Trek to Yomi,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Arcade Paradise,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play Together"
SuchArt: Genius Artist Simulator,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support"
Tin Can,"Single-player,Steam Achievements,VR Supported"
Hot Brass,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together"
The Outer Worlds: Spacer's Choice Edition,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Temtem,"MMO,Online PvP,Online Co-op,Cross-Platform Multiplayer,Full controller support,In-App Purchases,Steam Cloud,Remote Play on Phone,Remote Play on Tablet"
Yakuza 4 Remastered,"Single-player,Steam Achievements,Full controller support"
Roadwarden,"Single-player,Steam Achievements"
Kraken Academy!!,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Merchant of the Skies,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Ozymandias: Bronze Age Empire Sim,"Single-player,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Steam Turn Notifications"
Shotgun King: The Final Checkmate,"Single-player,Steam Achievements,Steam Cloud"
Ghostwire Tokyo,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud"
Remnant: From the Ashes - Complete Edition,Game not found
Curse of the Dead Gods,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Honey I Joined a Cult,"Single-player,Steam Cloud"
Eternal Threads,"Single-player,Steam Achievements,Full controller support"
GRIME,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Turbo Golf Racing,"Single-player,Online PvP,Full controller support"
Meeple Station,"Single-player,Steam Achievements,Includes level editor"
"Warhammer 40,000: Chaos Gate - Daemonhunters","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Spiritfarer: Farewell Edition,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Bendy and the Dark Revival,"Single-player,Steam Achievements,Full controller support"
Operation: Tango,"Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Windjammers 2,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Remote Play Together"
Builder Simulator,"Single-player,Steam Achievements,Partial Controller Support"
Behind the Frame: The Finest Scenery,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet"
The Invisible Hand,"Single-player,Steam Achievements,Steam Cloud"
DEATH STRANDING DIRECTOR'S CUT,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Aliens: Fireteam Elite,"Single-player,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud"
Rollerdrome,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards"
Life is Strange 2: Complete Season,Game not found
The Life and Suffering of Sir Brante,"Single-player,Steam Achievements,Steam Trading Cards"
Monster Prom 2: Monster Camp,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together"
Revita,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards"
Founders' Fortune,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud"
Biomutant,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet"
Jurassic World Evolution 2,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats"
Edge Of Eternity,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats"
Hero's Hour,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Steam Workshop,Steam Cloud,Stats,Includes level editor,Remote Play Together"
Rogue Lords,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Demon Turf,"Single-player,Full controller support,Steam Cloud"
Golden Light,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards"
Monster Crown,"Single-player,Online PvP,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Pathfinder: Wrath of the Righteous,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Fallout 76 + Fallout 1,Game not found
Thronebreaker: The Witcher Tales,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Othercide,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Shady Part of Me,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Scourgebringer,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Fobia - St. Dinfna Hotel,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Five Dates,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
DOOM Eternal,"Single-player,Online PvP,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet"
Tribes of Midgard,"Single-player,Online Co-op,Steam Achievements,Full controller support,In-App Purchases"
Encased: A Sci-Fi Post-Apocalyptic RPG,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
OlliOlli World - Rad Edition,Game not found
Grow: Song of the Evertree,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Conan Chop Chop,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together"
Hokko Life,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
The Serpent Rogue,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Wasteland 3,"Single-player,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Tablet"
GreedFall,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
First Class Trouble,"Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards"
Backbone,Single-player
TOEM,"Single-player,Steam Achievements,Captions available,Partial Controller Support,Steam Cloud"
Where the Water Tastes Like Wine,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Blade Assault,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Super Magbot,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards"
Hell Let Loose,"Online PvP,Steam Achievements,Partial Controller Support"
Kingdoms of Amalur: Re-Reckoning - FATE Edition,Game not found
Shadow Tactics: Aiko's Choice,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Roboquest,"Single-player,Online Co-op,Cross-Platform Multiplayer,Partial Controller Support,Steam Cloud"
Eldest Souls,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
UnMetal,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Raji: An Ancient Epic,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Morbid: The Seven Acolytes,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
DEATHLOOP,"Single-player,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Monster Train (First Class - Collectors Edition),Game not found
The Dark Pictures Anthology: Little Hope,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together"
Disciples: Liberation,"Single-player,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Maid of Sker,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Epic Chef,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Railroad Corporation,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
Golf Gang,"Single-player,Online PvP,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards"
Crusader Kings III,"Single-player,Online PvP,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on Tablet"
Just Cause 4: Complete Edition,Game not found
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Forgive Me Father,Single-player
Crown Trick,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Descenders,"Single-player,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV"
INDUSTRIA,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Shapez + Puzzle DLC,"Single-player,Downloadable Content,Steam Cloud"
"Highsidin Hyphy Edition (DRM Free, No redemption URL)",Game not found
The Ascent,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together"
HOT WHEELS UNLEASHED,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
A Plague Tale: Innocence,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Gas Station Simulator,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
In Sound Mind,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Mind Scanners,"Single-player,Steam Achievements,Remote Play on Tablet"
Emily is Away <3,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats"
Omno,"Single-player,Steam Achievements,Full controller support"
Deep Rock Galactic,"Single-player,Partial Controller Support,Steam is learning about this game 
										

"
Necromunda: Hired Gun,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Legion TD 2 - Multiplayer Tower Defense.,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards,Stats"
Legend of Keepers,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards"
Lawn Mowing Simulator,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Banners of Ruin,"Single-player,Steam Achievements,Steam Cloud"
"Yes, Your Grace","Single-player,Steam Achievements,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet"
ATOM RPG Trudograd,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
Star Wars Squadrons,"Single-player,Online PvP,Online Co-op,Steam Achievements,Full controller support,VR Supported,Steam Trading Cards"
Phoenix Point: Year One Edition,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Cloud"
Call of the Sea,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Gamedec,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
Pumpkin Jack,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Siege Survival: Gloria Victis,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor"
I am Fish,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
SUPERHOT: MIND CONTROL DELETE,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Planet Zoo,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Command & Conquer Remastered Collection,"Single-player,Online PvP,Steam Achievements,Steam Workshop,Steam Cloud,Includes level editor"
Spellcaster University,"Single-player,Steam Achievements,Steam Cloud"
Surviving the Aftermath,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
If Found...,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Genesis Noir,"Single-player,Steam Achievements"
Embr,"Single-player,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud"
Ghostrunner,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Destroy All Humans!,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together"
Monster Sanctuary,"Single-player,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet"
Killsquad,"Single-player,Online Co-op,Full controller support,Steam Trading Cards,Steam Cloud"
Rogue Heroes: Ruins of Tasos,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together"
Suzerain,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Chicken Police,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
NARUTO TO BORUTO: SHINOBI STRIKER,"Single-player,Online PvP,Online Co-op,Steam Achievements,Partial Controller Support"
Desperados III,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Mass Effect Legendary Edition,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV"
Nickelodeon All-Star Brawl,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Remote Play Together"
The Dark Pictures Anthology: Man Of Medan,"Single-player,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Red Solstice 2: Survivors,"Single-player,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud"
Nebuchadnezzar,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud"
Police Stories,"Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play on TV,Remote Play Together"
Evan's Remains,"Single-player,Steam Achievements,Full controller support"
Borderlands 3,"Single-player,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Borderlands 3: Director's Cut,Game not found
Black Book,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Per Aspera,"Single-player,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
Just Die Already,"Single-player,Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Before We Leave,"Single-player,Steam Achievements"
Paradise Lost,"Single-player,Steam Achievements,Partial Controller Support"
Everhood,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Calico,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
